Ref,Val,Package,PosX,PosY,Rot,Side
"C101","0.1uF/50V","0603",126.492000,-77.470000,0.000000,top
"C102","10uF/25V","0805",111.506000,-84.201000,180.000000,top
"C103","10uF/25V","0805",118.872000,-93.091000,90.000000,top
"C104","0.1uF/50V","0603",159.004000,-72.898000,90.000000,top
"C105","2.2uF/16V","0805",146.456400,-95.377000,90.000000,top
"C106","2.2uF/16V","0805",162.509200,-97.002600,180.000000,top
"C107","10uF/25V","0805",140.589000,-95.885000,0.000000,top
"C108","0.1uF/50V","0603",119.405400,-99.923600,90.000000,top
"C109","22pF/50V","0603",148.793200,-121.564400,0.000000,top
"C110","22pF/50V","0603",156.413200,-121.564400,180.000000,top
"C111","1uF/16V","0805",171.450000,-68.326000,0.000000,top
"C112","1uF/16V","0805",192.278000,-70.739000,90.000000,top
"C113","1uF/16V","0805",192.405000,-147.193000,90.000000,top
"C114","0.1uF/50V","0603",106.299000,-96.774000,-90.000000,top
"C115","0.1uF/50V","0603",134.366000,-119.888000,-90.000000,top
"C116","0.1uF/50V","0603",97.663000,-113.919000,0.000000,top
"CON101","10118192-0002LF","USB-10118192-0002",111.760000,-67.564000,180.000000,top
"CON102","10118192-0002LF","USB-10118192-0002",96.520000,-67.564000,180.000000,top
"CON103","HDR1X3","HDR1X3",108.966000,-79.248000,90.000000,top
"CON104","JTAG-2X10-HDR","HDR2X10-JTAG-SHROUD",127.508000,-73.025000,90.000000,top
"CON105","101-00405-75","SDCARD-AMP-10100405",102.235000,-96.774000,-90.000000,top
"CON106","UMDv3-CONN","UMDv3-CONN-DIP64-2",177.546000,-68.580000,0.000000,top
"CON107","HDR1X3","HDR1X3",159.512000,-94.640400,90.000000,top
"D101","LO_M67K-K2M1-24-Z","SMD-2",155.930600,-137.134600,180.000000,top
"D102","LO_M67K-K2M1-24-Z","SMD-2",167.106600,-137.134600,180.000000,top
"D103","LG_M67K-G1J2-24-Z","SMD-2",105.054400,-73.685400,180.000000,top
"D104","LG_M67K-G1J2-24-Z","SMD-2",121.945400,-87.655400,-90.000000,top
"FB101","1K@100MHz","0805",140.589000,-92.964000,0.000000,top
"G***","LOGO","db-logo_10mm",88.138000,-74.422000,0.000000,top
"MEC101","NSP-4-6-01","4-40-SCREW",78.740000,-69.850000,0.000000,top
"MEC102","NSP-4-6-01","4-40-SCREW",78.740000,-146.050000,0.000000,top
"MEC103","NSP-4-6-01","4-40-SCREW",200.660000,-69.850000,0.000000,top
"MEC104","NSP-4-6-01","4-40-SCREW",200.660000,-146.050000,0.000000,top
"R101","1.5k","0603",148.742400,-89.992200,180.000000,top
"R102","2.2k","0603",131.064000,-106.807000,-90.000000,top
"R103","2.2k","0603",132.588000,-106.807000,-90.000000,top
"R104","470","0603",159.004000,-76.962000,90.000000,top
"R105","470","0603",155.168600,-135.102600,180.000000,top
"R106","470","0603",166.344600,-135.102600,0.000000,top
"R107","10k","0603",132.257800,-100.634800,0.000000,top
"R108","470","0603",132.257800,-98.983800,180.000000,top
"R109","715","0603",104.140000,-75.819000,0.000000,top
"R110","470","0603",121.945400,-92.151200,-90.000000,top
"R111","10k","0603",106.299000,-100.838000,90.000000,top
"SW101","PTS645SM43SMTR92_LFS","PTS645",165.354000,-72.898000,0.000000,top
"SW102","PTS645SM43SMTR92_LFS","PTS645",154.914600,-144.500600,0.000000,top
"SW103","PTS645SM43SMTR92_LFS","PTS645",166.344600,-144.500600,0.000000,top
"SW104","PTS645SM43SMTR92_LFS","PTS645",144.754600,-136.880600,0.000000,top
"SW105","PTS645SM43SMTR92_LFS","PTS645",124.434600,-136.880600,0.000000,top
"SW106","PTS645SM43SMTR92_LFS","PTS645",134.594600,-144.500600,0.000000,top
"SW107","PTS645SM43SMTR92_LFS","PTS645",134.594600,-129.260600,0.000000,top
"SW108","PTS645SM43SMTR92_LFS","PTS645",125.399800,-101.219000,0.000000,top
"U101","MCP23008T-E_SO","SOIC-18",132.334000,-110.744000,-90.000000,top
"U102","AZ1117CH-3.3TRG1","SOT-223",113.919000,-86.868000,180.000000,top
"U103","STM32F407VET6TR","TQFP-100",146.050000,-113.792000,0.000000,top
"U104","SSD1106-1.3-OLED-I2C","OLED-1.3-I2C",85.090000,-118.110000,0.000000,top
"X101","ABLS-8.000MHZ-B4-T","HC-49US",152.603200,-124.866400,0.000000,top
